danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.716,Kendrick Lamar,2HbKqm4o0w5wEeEFXm2sD4,Money Trees,7,0.531,0.0703,386907,-7.355,0.122,71.994,AUS
0.427,Sam Barber,40vKwNlXXKUmQMGceAoEpy,Straight and Narrow,10,0.278,0.47,199875,-8.83,0.0331,85.633,AUS
0.486,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,5,0.617,0.0954,242373,-7.115,0.0287,138.015,AUS
0.573,Libianca,26b3oVLrRUaaybJulow9kz,People,10,0.422,0.551,184791,-7.621,0.0678,124.357,AUS
0.761,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,11,0.525,0.44,238805,-6.9,0.0944,80.87,AUS
0.429,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,11,0.661,0.00239,266773,-7.227,0.0281,173.372,AUS
0.691,AgroPlay,4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,9,0.708,0.338,173698,-4.821,0.195,160.018,BRA
0.771,Matuê,3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),6,0.577,0.393,221538,-6.944,0.0461,116.96,BRA
0.625,Israel & Rodolffo,3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,6,0.916,0.309,168840,-3.704,0.0461,153.664,BRA
0.588,Simone Mendes,51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,6,0.893,0.176,178812,-2.743,0.0866,153.778,BRA
0.67,Zé Neto & Cristiano,3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,0.668,0.601,159158,-6.411,0.0459,107.995,BRA
0.743,Marília Mendonça,2K9kZpwD2CzTa6iiSYYOoO,Leão,6,0.865,0.449,166775,-3.897,0.0315,129.999,BRA
0.842,MC Caverinha,12YCtLHGk6tP6RbHDHflCs,Cartão Black,9,0.468,0.255,159973,-8.572,0.637,107.727,BRA
0.605,KayBlack,2LTlykcdu0gwb7zcKneo2a,Melhor Só,5,0.386,0.272,229327,-9.965,0.166,142.133,BRA
